file_name,policy_number,claim_number,incident_date,description,estimated_damage,sentiment,word_count,fraud_flag,severity_level,complexity_score,routing_team,incident_type
CLM-2025-01-0001_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0001 policy no: pol-2387512 claim date: 2025-10-11 loss date: 2025-10-04 claimant information name: maria woods age: 32 contact: (805)693-1661 address: 1609 angela cliff, port jaime, in 84216 vehicle information make/model: toyota scorpio (2020) registration: mo 73 lq 4801 odometer: 105321 km declared value: i350,000 incident details the insured was involved in a head-on collision on caitlin plains borough at 03:00 after the opposing vehicle crossed into the lane. serious damage to both vehicles; injuries reported and police on scene. location: 28519 hubbard mills, port jessica weather: clear third party involved: false injuries reported: true police report filed: true police report no: pr-16452 damage estimate damage areas: front bumper, rear bumper, hood estimated damage cost: i12,000 photos attached: 3 policy coverage coverage: comprehensive deductible: i5,000 policy period: 2025-02-10 to 2026-02-10 previous claims: 3 adjuster notes: signature: date: generated by: syntheticgenerator claim id: clm-2025-01-0001 batch: 1 version: v1",202.0,0.015,154,0,Medium,4,Health_Claims,head_on
CLM-2025-01-0002_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0002 policy no: pol-1513883 claim date: 2025-10-12 loss date: 2025-10-11 claimant information name: kim robles age: 55 contact: (196)905-9353x8894 address: 4518 elizabeth harbor suite 920, rebeccaside, or 71162 vehicle information make/model: maruti swift (2015) registration: rs 32 eq 1530 odometer: 40681 km declared value: i350,000 incident details while entering the roundabout at petersen passage bury, another driver ran a stop sign and clipped the insured s right front fender. small paint transfer and bumper scuffing observed. location: 033 jason roads suite 924, north brandiborough weather: night third party involved: false injuries reported: true police report filed: true police report no: pr-85674 damage estimate damage areas: trunk estimated damage cost: i150,000 photos attached: 7 policy coverage coverage: own damage deductible: i2,000 policy period: 2024-08-19 to 2025-08-19 previous claims: 0 adjuster notes: signature: date: generated by: syntheticgenerator claim id: clm-2025-01-0002 batch: 1 version: v1",202.0,0.0021,150,0,Medium,4,Health_Claims,intersection
CLM-2025-01-0003_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0003 policy no: pol-8241039 claim date: 2025-10-11 loss date: 2025-10-02 claimant information name: tiffany vincent age: 22 contact: 542.552.6397 address: 236 marsh unions, north olivia, va 94111 vehicle information make/model: mahindra swift (2019) registration: ql 30 lq 9912 odometer: 86804 km declared value: i950,000 incident details the insured parked the vehicle outside quinn-chavez parking lot overnight. the next morning it was discovered that the rear window had been smashed and personal items were stolen from the cabin. no injuries reported.",202.0,0.0,88,1,Medium,2,Health_Claims,theft
CLM-2025-01-0004_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0004 policy no: pol-6760421 claim date: 2025-10-15 loss date: 2025-10-12 claimant information name: clayton palmer jr. age: 40 contact: (459)009-1995 address: 494 danielle shoal, hawkinschester, wi 37713 vehicle information make/model: toyota octavia (2024) registration: ri 5 vk 4370 odometer: 58677 km declared value: i450,000 incident details at about 04:35 on 2025-10-12, the insured was changing lanes on rachel mount ton when a commercial truck clipped the left rear, causing loss of control and collision with the guardrail. driver complained of ankle pain and was taken to hospital.",202.0,-0.2625,95,0,Medium,2,Health_Claims,collision
CLM-2025-01-0005_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0005 policy no: pol-7096258 claim date: 2025-10-27 loss date: 2025-10-21 claimant information name: brandon wilson age: 35 contact: 001-580-287-4154x417 address: 4000 turner mews apt. 258, carolynberg, dc 20566 vehicle information make/model: volkswagen civic (2015) registration: th 66 ia 3510 odometer: 114788 km declared value: i450,000 incident details during reverse parking at young inc parking lot, the insured accidentally hit a stationary pole, scratching the rear quarter panel and bumper. minor cosmetic damage only; no injuries.",202.0,0.1625,83,0,Medium,2,Health_Claims,parking
CLM-2025-01-0006_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0006 policy no: pol-8001124 claim date: 2025-10-21 loss date: 2025-10-16 claimant information name: christine robertson age: 28 contact: 574-600-4203 address: 4021 hannah dam, east todd, ri 77123 vehicle information make/model: maruti civic (2018) registration: ed 15 rb 6474 odometer: 43703 km declared value: i450,000 incident details the insured s vehicle was vandalized with key scratches along the driver s side while parked at rodriguez, rowe and harris parking lot. cctv footage requested. no injuries.",202.0,0.0,82,0,Medium,2,Health_Claims,vandalism
CLM-2025-01-0007_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0007 policy no: pol-5391622 claim date: 2025-10-12 loss date: 2025-10-08 claimant information name: brooke mcdonald age: 33 contact: (602)213-0542x983 address: 9165 anderson crest suite 219, daletown, al 34691 vehicle information make/model: toyota octavia (2022) registration: cx 75 jv 8094 odometer: 79425 km declared value: i1,200,000 incident details while entering the roundabout at stewart avenue mouth, another driver ran a stop sign and clipped the insured s right front fender. small paint transfer and bumper scuffing observed. location: 052 clay roads, robertaview weather: rainy third party involved: true injuries reported: false police report filed: false police report no: damage estimate damage areas: front bumper, trunk, right mirror estimated damage cost: i350,000 photos attached: 8 policy coverage coverage: own damage deductible: i5,000 policy period: 2024-02-12 to 2025-02-11 previous claims: 3 adjuster notes: signature: date: generated by: syntheticgenerator claim id: clm-2025-01-0007 batch: 1 version: v1",202.0,0.005,150,0,Medium,4,Health_Claims,intersection
CLM-2025-01-0008_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0008 policy no: pol-2664755 claim date: 2025-10-05 loss date: 2025-09-25 claimant information name: patrick martinez age: 73 contact: 290.841.2352x862 address: 3239 samuel station, lake larry, ct 55522 vehicle information make/model: skoda octavia (2019) registration: yp 54 sn 1802 odometer: 80466 km declared value: i350,000 incident details while driving on mason underpass port at approximately 03:50, the insured lost control on the wet surface due to heavy rain and skidded into a roadside divider. no other vehicles involved. front-end damage observed; airbag deployed.",202.0,-0.1525,90,0,Low,2,Auto_Claims,unknown
CLM-2025-01-0009_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0009 policy no: pol-5321989 claim date: 2025-10-23 loss date: 2025-10-22 claimant information name: crystal moore age: 64 contact: 332.404.4034x620 address: 5571 black estate suite 561, south erica, or 74753 vehicle information make/model: volkswagen corolla (2023) registration: dv 97 jn 6187 odometer: 72001 km declared value: i600,000 incident details on 2025-10-22 at around 00:00, the insured vehicle was stopped at a red light on lopez vista mouth when it was rear-ended by another car. the insured reported minor neck pain and the vehicle s rear bumper and trunk were damaged. location: 616 gabrielle lock, cherylfurt weather: foggy third party involved: true injuries reported: false police report filed: true police report no: pr-58862 damage estimate damage areas: trunk, right mirror, left mirror estimated damage cost: i12,000 photos attached: 2 policy coverage coverage: comprehensive deductible: i5,000 policy period: 2025-02-03 to 2026-02-03 previous claims: 2 adjuster notes: signature: date: generated by: syntheticgenerator claim id: clm-2025-01-0009 batch: 1 version: v1",202.0,0.0548,163,0,Medium,4,Health_Claims,rear_end
CLM-2025-01-0010_batch1_acord_fnol.pdf,INFORMATION,POLICY,31/10/2025,"generated: 2025-10-31 19:06:28 claim policy information claim id: clm-2025-01-0010 policy no: pol-8993221 claim date: 2025-10-16 loss date: 2025-10-14 claimant information name: jessica chambers age: 33 contact: 830.843.8007x9013 address: 7705 ball dale suite 326, sandrachester, nh 12437 vehicle information make/model: maruti i20 (2020) registration: mx 94 rg 5607 odometer: 36213 km declared value: i450,000 incident details the insured collided with a stray animal (deer) on carpenter manor view during low visibility at 08:45. significant front-end damage and radiator leak. tow truck dispatched to remove vehicle.",202.0,0.1875,84,0,Low,2,Auto_Claims,animal
